time,canopy.ca_conc,canopy.lai,leaf.d13c,apar,A,d13c,Acg_lim,Ajg_lim,Apg_lim,cb,ci,cc,gb,gs,gi,g,rd,m,G_dir,k_dir,k_diff,k_dirprime,k_diffprime,k_vcmax,lscattering,alb_dir,alb_diff,alb_dir_can,alb_diff_can
        1860,      286.42,           3,f_d13c_lin,    690.1394,    15.24794,    24.58367,           0,    0.000000,           0,           0,    22.89441,    22.89441,         Inf,   0.4026540,         Inf,   0.4026540,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1861,      286.45,           3,f_d13c_lin,    690.1394,    15.24953,    24.58367,           0,    0.000000,           0,           0,    22.89681,    22.89681,         Inf,   0.4026538,         Inf,   0.4026538,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1862,      286.51,           3,f_d13c_lin,    690.1394,    15.25270,    24.58367,           0,    0.000000,           0,           0,    22.90161,    22.90161,         Inf,   0.4026534,         Inf,   0.4026534,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1863,      286.59,           3,f_d13c_lin,    690.1394,    15.25694,    24.58367,           0,    0.000000,           0,           0,    22.90800,    22.90800,         Inf,   0.4026528,         Inf,   0.4026528,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1864,      286.71,           3,f_d13c_lin,    690.1394,    15.26329,    24.58367,           0,    0.000000,           0,           0,    22.91759,    22.91759,         Inf,   0.4026520,         Inf,   0.4026520,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1865,      286.85,           3,f_d13c_lin,    690.1394,    15.27070,    24.58368,           0,    0.000000,           0,           0,    22.92879,    22.92879,         Inf,   0.4026509,         Inf,   0.4026509,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1866,      287.02,           3,f_d13c_lin,    690.1394,    15.27970,    24.58368,           0,    0.000000,           0,           0,    22.94238,    22.94238,         Inf,   0.4026495,         Inf,   0.4026495,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1867,      287.21,           3,f_d13c_lin,    690.1394,    15.28974,    24.58368,           0,    0.000000,           0,           0,    22.95757,    22.95757,         Inf,   0.4026479,         Inf,   0.4026479,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1868,      287.42,           3,f_d13c_lin,    690.1394,    15.30085,    24.58368,           0,    0.000000,           0,           0,    22.97435,    22.97435,         Inf,   0.4026461,         Inf,   0.4026461,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1869,      287.64,           3,f_d13c_lin,    690.1394,    15.31248,    24.58368,           0,    0.000000,           0,           0,    22.99194,    22.99194,         Inf,   0.4026441,         Inf,   0.4026441,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1870,      287.87,           3,f_d13c_lin,    690.1394,    15.32463,    24.58369,           0,    0.000000,           0,           0,    23.01033,    23.01033,         Inf,   0.4026418,         Inf,   0.4026418,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1871,      288.11,           3,f_d13c_lin,    690.1394,    15.33731,    24.58369,           0,    0.000000,           0,           0,    23.02952,    23.02952,         Inf,   0.4026394,         Inf,   0.4026394,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1872,      288.34,           3,f_d13c_lin,    690.1394,    15.34945,    24.58369,           0,    0.000000,           0,           0,    23.04791,    23.04791,         Inf,   0.4026370,         Inf,   0.4026370,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1873,      288.56,           3,f_d13c_lin,    690.1394,    15.36106,    24.58369,           0,    0.000000,           0,           0,    23.06549,    23.06549,         Inf,   0.4026345,         Inf,   0.4026345,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1874,      288.77,           3,f_d13c_lin,    690.1394,    15.37214,    24.58370,           0,    0.000000,           0,           0,    23.08228,    23.08228,         Inf,   0.4026321,         Inf,   0.4026321,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1875,      288.97,           3,f_d13c_lin,    690.1394,    15.38269,    24.58370,           0,    0.000000,           0,           0,    23.09827,    23.09827,         Inf,   0.4026297,         Inf,   0.4026297,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1876,      289.16,           3,f_d13c_lin,    690.1394,    15.39270,    24.58370,           0,    0.000000,           0,           0,    23.11346,    23.11346,         Inf,   0.4026273,         Inf,   0.4026273,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1877,      289.35,           3,f_d13c_lin,    690.1394,    15.40272,    24.58370,           0,    0.000000,           0,           0,    23.12865,    23.12865,         Inf,   0.4026249,         Inf,   0.4026249,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
