time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1860,      286.42,f_d13c_lin,f_gstar_f1980,    9.564226,    12.04087,    16.65845,    29.18505,    22.66017,    22.66017,    29.02151,        0.75,           2,         Inf,   0.2437462,         Inf,   0.2437462,    24.38863
        1861,      286.45,f_d13c_lin,f_gstar_f1980,    9.565227,    12.04183,    16.65884,    29.18454,    22.66254,    22.66254,    29.02455,        0.75,           2,         Inf,   0.2437462,         Inf,   0.2437462,    24.38863
        1862,      286.51,f_d13c_lin,f_gstar_f1980,    9.567229,    12.04374,    16.65962,    29.18352,    22.66729,    22.66729,    29.03063,        0.75,           2,         Inf,   0.2437461,         Inf,   0.2437461,    24.38863
        1863,      286.59,f_d13c_lin,f_gstar_f1980,    9.569898,    12.04630,    16.66065,    29.18216,    22.67362,    22.67362,    29.03873,        0.75,           2,         Inf,   0.2437461,         Inf,   0.2437461,    24.38863
        1864,      286.71,f_d13c_lin,f_gstar_f1980,    9.573900,    12.05012,    16.66221,    29.18011,    22.68311,    22.68311,    29.05089,        0.75,           2,         Inf,   0.2437459,         Inf,   0.2437459,    24.38863
        1865,      286.85,f_d13c_lin,f_gstar_f1980,    9.578569,    12.05459,    16.66402,    29.17773,    22.69419,    22.69419,    29.06508,        0.75,           2,         Inf,   0.2437458,         Inf,   0.2437458,    24.38863
        1866,      287.02,f_d13c_lin,f_gstar_f1980,    9.584236,    12.06001,    16.66621,    29.17485,    22.70764,    22.70764,    29.08230,        0.75,           2,         Inf,   0.2437456,         Inf,   0.2437456,    24.38863
        1867,      287.21,f_d13c_lin,f_gstar_f1980,    9.590569,    12.06607,    16.66867,    29.17162,    22.72267,    22.72267,    29.10155,        0.75,           2,         Inf,   0.2437453,         Inf,   0.2437453,    24.38863
        1868,      287.42,f_d13c_lin,f_gstar_f1980,    9.597565,    12.07276,    16.67138,    29.16807,    22.73928,    22.73928,    29.12283,        0.75,           2,         Inf,   0.2437449,         Inf,   0.2437449,    24.38864
        1869,      287.64,f_d13c_lin,f_gstar_f1980,    9.604893,    12.07977,    16.67421,    29.16435,    22.75669,    22.75669,    29.14512,        0.75,           2,         Inf,   0.2437444,         Inf,   0.2437444,    24.38864
        1870,      287.87,f_d13c_lin,f_gstar_f1980,    9.612550,    12.08709,    16.67717,    29.16047,    22.77489,    22.77489,    29.16843,        0.75,           2,         Inf,   0.2437439,         Inf,   0.2437439,    24.38864
        1871,      288.11,f_d13c_lin,f_gstar_f1980,    9.620537,    12.09473,    16.68026,    29.15642,    22.79387,    22.79387,    29.19275,        0.75,           2,         Inf,   0.2437432,         Inf,   0.2437432,    24.38864
        1872,      288.34,f_d13c_lin,f_gstar_f1980,    9.628189,    12.10205,    16.68321,    29.15256,    22.81207,    22.81207,    29.21605,        0.75,           2,         Inf,   0.2437425,         Inf,   0.2437425,    24.38864
        1873,      288.56,f_d13c_lin,f_gstar_f1980,    9.635505,    12.10905,    16.68603,    29.14887,    22.82948,    22.82948,    29.23834,        0.75,           2,         Inf,   0.2437418,         Inf,   0.2437418,    24.38864
